,Name,Price
0, Classic Nachos,9.99
1, Nachos Fajitas,13.99
2, Azul Special Nachos,12.99
3, Seafood Nachos,15.50
4, Nachos Mexicanos,12.75
5, Queso Fundido,9.75
6, Azul Sampler,14.25
7, Ceviche,14.99
8, Cheese Dip,5.99
9, Bean Dip,9.50
10, Spinach Dip,8.25
11, Texas Dip,12.99
12, Chicken Wings,13.25
13, Chicken Fingers and Fries,9.25
14, Shrimp Soup,16.50
15, Seafood Soup,19.25
16, Azul Special Salad,7.00
17, Mil Amores Salad,10.00
18, Azul Chicken Salad,12.25
19, Cancun Salad,13.99
20, Beef Taco Salad,9.50
21, Chicken Taco Salad,9.50
22, Combination,10.99
23, Golden Tacos (3),13.75
24, Tacos De Alambre,14.75
25, Tortas,11.99
26, Burritos Mexicanos,14.99
27, Mucho Grande Burrito,14.25
28, Cheese Steak Burritos,12.99
29, Pepes Burritos,11.25
30, Burritos Guadalajara,12.75
31, Burrito Chile Colorado,12.99
32, Cheese Quesadilla,4.50
33, Quesadilla Fajita,15.25
34, Quesadilla Rellena,10.50
35, Quesadillas Jalisco,14.25
36, Enchiladas Rancheras,16.75
37, Enchiladas Poblanas,14.25
38, Enchiladas Verdes,14.25
39, Enchiladas Santa Fe,15.99
40, Seafood Enchiladas,15.99
41, Trio Enchiladas,14.25
42, Carnitas,15.99
43, Chile Verde,15.99
44, Pollo Asado,15.25
45, Azul Chicken Special,16.25
46, Pollo Mexicano,15.75
47, Pollo Ranchero,16.25
48, Pollo A La Crema,15.50
49, Pollo Con Chorizo,16.25
50, Steak Ranchero,16.99
51, Steak Mexicano,16.99
52, Steak Jalisco,17.25
53, Steak and Shrimp,19.25
54, Carne Asada,17.25
55, Arrachera,19.50
56, Chile Colorado,15.99
57, Arroz Con Mariscos,17.99
58, Camarones A La Diabla,17.99
59, Camarones Al Mojo,17.99
60, Azul Shrimp Special,17.99
61, Coctel De Camaron,17.99
62, Seafood Chimichanga,15.99
63, Mojarra Roja Frita,17.99
64, Salmon A La Plancha,18.99
65, Molcajete,36.00
66, Fried Chimichanga,12.75
67, Chilaquiles Verdes or Rojos,12.99
68, Taquitos Mexicanos,12.99
69, Milanesa,16.99
70, Azul Combo,18.25
71, Chicken Azul Bowl,11.99
72, Shrimp Azul Bowl,16.99
73, Steak Azul Bowl,12.99
74, Veggie Azul Bowl,11.25
75, Veggie Quesadilla,11.99
76, Veggie Soup,9.50
77, Mini 2oz. Guacamole,2.25
78, Avocado Slices,3.50
79, Charro Beans,3.50
80, Refried Beans,3.00
81, Rice,3.00
82, Shredded Cheese,2.50
83, Sour Cream,1.50
84, Pico de Gallo,2.50
85, Chiles Toreados,3.00
86, Street Corn,3.00
87, Coke,2.99
88, Diet Coke,2.99
89, Coke Zero,2.99
90, Sprite,2.99
91, Pibb Extra,2.99
92, Fanta,2.99
93, Minute Maid Lemonade,2.99
94, Sweet Tea,2.99
95, Unsweet Tea,2.99
96, Jarritos,3.50
97, Mexican Bottled Coke,3.50
98, Mexican Bottled Fanta,3.50
99, Horchata,3.50
100, Jamaica,3.50
101, Flan,5.99
102, Sopapilla,5.00
103, Churros With Ice Cream,6.99
104, Fried Ice Cream,5.75
105, Tres Leches Cake,6.25
106, Breakfast Burrito,10.75
107, Carne Asada,10.75
108, Carnitas,10.25
109, Pollo Ranchero,10.25
110, Chori Pollo,10.50
111, Chilaquiles,9.99
112, Huevos Al Gusto,9.99
113, Taco Salad,8.50
114, Chimichanga,8.50
115, Fajita Quesadilla,10.75
116, Azul Chicken Salad,9.99
117, Cancun Salad,10.75
118, Full Slab Dinner,10.00
119, Classic Italian Sub,8.00
120, Sicilian Pepperoni Pizza,12.00
121, Dozen Bagels,14.00
122, Sandwich and Salads Builder,10.00
123, DoorDash Drive,0.00
124, Multi Delivery Mapping,0.00
125," Lead Times (Unlimited: Lunch Rush, Dinner Rush, etc...)",0.00
126, Separate Pickup and Delivery Menus,0.00
127, Advance Ordering,0.00
128, Auto POS Price Sync with $Amount or %Percentage add on.,0.00
129, Catering Menus,0.00
130, Kiosk Mode,0.00
